"strain","N","E","RNAse.P"
"USA/CA-CZB-3648/2020",22.17,17.21,25.84
"USA/CA-CZB-3649/2020",23.94,18.23,25.91
"USA/CA-CZB-3650/2020",17.88,13.15,27.45
"USA/CA-CZB-3651/2020",21.03,16.21,29.86
"USA/CA-CZB-3652/2020",23.64,23.77,28.35
"USA/CA-CZB-3653/2020",24.72,24.36,27.03
"USA/CA-CZB-3654/2020",18.41,18.67,25.56
"USA/CA-CZB-3655/2020",23.31,18.12,29.03
"USA/CA-CZB-3656/2020",22.18,17.29,27.83
"USA/CA-CZB-3657/2020",28.77,23.69,26.19
"USA/CA-CZB-3658/2020",21.47,16.25,26.58
"USA/CA-CZB-3659/2020",32.42,26.64,27.81
"USA/CA-CZB-3660/2020",16.86,12.06,25.26
"USA/CA-CZB-3661/2020",19.31,15.85,25.7
"USA/CA-CZB-3662/2020",25.04,20.26,25.48
"USA/CA-CZB-3663/2020",17.01,13.37,25.07
"USA/CA-CZB-3664/2020",25.62,20.61,25.93
"USA/CA-CZB-3665/2020",15.39,10.57,25.34
"USA/CA-CZB-3666/2020",22.7,18.44,24.99
"USA/CA-CZB-3667/2020",30.54,22.5,26.88
"USA/CA-CZB-3668/2020",22.95,22.32,28.06
"USA/CA-CZB-3669/2020",28.78,27.78,26.8
"USA/CA-CZB-3670/2020",30.21,26,26.25
"USA/CA-CZB-3671/2020",27.78,22.73,27.04
"USA/CA-CZB-3672/2020",27.45,22.32,23.73
